meter	date	measure
Meter 2	Feb 2007	26.63
Meter 2	Mar 2007	26.35
Meter 2	Apr 2007	28.3
Meter 2	May 2007	29.11
Meter 2	Jun 2007	27.95
Meter 2	Jul 2007	27.5
Meter 2	Aug 2007	27.34
Meter 2	Sep 2007	28.04
Meter 2	Oct 2007	35.03
Meter 2	Nov 2007	32.09
Meter 2	Dec 2007	34
Meter 2	Jan 2008	31.13
Meter 2	Feb 2008	26.07
Meter 2	Mar 2008	27.21
Meter 2	Apr 2008	27.34
Meter 2	May 2008	27.25
Meter 2	Jun 2008	26.47
Meter 2	Jul 2008	24.75
Meter 2	Aug 2008	26.36
Meter 2	Sep 2008	25.78
Meter 2	Oct 2008	21.57
Meter 2	Nov 2008	19.66
Meter 2	Dec 2008	18.91
Meter 2	Jan 2009	16.63
Meter 2	Feb 2009	15.81
Meter 2	Mar 2009	17.99
Meter 2	Apr 2009	19.84
Meter 2	May 2009	20.59
Meter 2	Jun 2009	23.42
Meter 2	Jul 2009	23.18
Meter 2	Aug 2009	24.43
Meter 2	Sep 2009	25.49
Meter 2	Oct 2009	27.48
Meter 2	Nov 2009	29.27
Meter 2	Dec 2009	30.34
Meter 2	Jan 2010	28.05
Meter 2	Feb 2010	28.67
Meter 2	Mar 2010	28.8
Meter 3	Jan 2000	64.56
Meter 3	Feb 2000	68.87
Meter 3	Mar 2000	67
Meter 3	Apr 2000	55.19
Meter 3	May 2000	48.31
Meter 3	Jun 2000	36.31
Meter 3	Jul 2000	30.12
Meter 3	Aug 2000	41.5
Meter 3	Sep 2000	38.44
Meter 3	Oct 2000	36.62
Meter 3	Nov 2000	24.69
Meter 3	Dec 2000	15.56
Meter 3	Jan 2001	17.31
Meter 3	Feb 2001	10.19
Meter 3	Mar 2001	10.23
Meter 3	Apr 2001	15.78
Meter 3	May 2001	16.69
Meter 3	Jun 2001	14.15
Meter 3	Jul 2001	12.49
Meter 3	Aug 2001	8.94
Meter 3	Sep 2001	5.97
Meter 3	Oct 2001	6.98
Meter 3	Nov 2001	11.32
Meter 3	Dec 2001	10.82
Meter 3	Jan 2002	14.19
Meter 3	Feb 2002	14.1
Meter 3	Mar 2002	14.3
Meter 3	Apr 2002	16.69
Meter 3	May 2002	18.23
Meter 3	Jun 2002	16.25
Meter 3	Jul 2002	14.45
Meter 3	Aug 2002	14.94
Meter 3	Sep 2002	15.93
Meter 3	Oct 2002	19.36
Meter 3	Nov 2002	23.35
Meter 3	Dec 2002	18.89
Meter 3	Jan 2003	21.85
Meter 3	Feb 2003	22.01
Meter 3	Mar 2003	26.03
Meter 3	Apr 2003	28.69
Meter 3	May 2003	35.89
Meter 3	Jun 2003	36.32
Meter 3	Jul 2003	41.64
Meter 3	Aug 2003	46.32
Meter 3	Sep 2003	48.43
Meter 3	Oct 2003	54.43
Meter 3	Nov 2003	53.97
Meter 3	Dec 2003	52.62
Meter 3	Jan 2004	50.4
Meter 3	Feb 2004	43.01
Meter 3	Mar 2004	43.28
Meter 3	Apr 2004	43.6
Meter 3	May 2004	48.5
Meter 3	Jun 2004	54.4
Meter 3	Jul 2004	38.92
Meter 3	Aug 2004	38.14
Meter 3	Sep 2004	40.86
Meter 3	Oct 2004	34.13
Meter 3	Nov 2004	39.68
Meter 3	Dec 2004	44.29
Meter 3	Jan 2005	43.22
Meter 3	Feb 2005	35.18
Meter 3	Mar 2005	34.27
Meter 3	Apr 2005	32.36
Meter 3	May 2005	35.51
Meter 3	Jun 2005	33.09
Meter 3	Jul 2005	45.15
Meter 3	Aug 2005	42.7
Meter 3	Sep 2005	45.3
Meter 3	Oct 2005	39.86
Meter 3	Nov 2005	48.46
Meter 3	Dec 2005	47.15
Meter 3	Jan 2006	44.82
Meter 3	Feb 2006	37.44
Meter 3	Mar 2006	36.53
Meter 3	Apr 2006	35.21
Meter 3	May 2006	34.61
Meter 3	Jun 2006	38.68
Meter 3	Jul 2006	26.89
Meter 3	Aug 2006	30.83
Meter 3	Sep 2006	32.12
Meter 3	Oct 2006	38.09
Meter 3	Nov 2006	40.34
Meter 3	Dec 2006	39.46
Meter 3	Jan 2007	37.67
Meter 3	Feb 2007	39.14
Meter 3	Mar 2007	39.79
Meter 3	Apr 2007	61.33
Meter 3	May 2007	69.14
Meter 3	Jun 2007	68.41
Meter 3	Jul 2007	78.54
Meter 3	Aug 2007	79.91
Meter 3	Sep 2007	93.15
Meter 3	Oct 2007	89.15
Meter 3	Nov 2007	90.56
Meter 3	Dec 2007	92.64
Meter 3	Jan 2008	77.7
Meter 3	Feb 2008	64.47
Meter 3	Mar 2008	71.3
Meter 3	Apr 2008	78.63
Meter 3	May 2008	81.62
Meter 3	Jun 2008	73.33
Meter 3	Jul 2008	76.34
Meter 3	Aug 2008	80.81
Meter 3	Sep 2008	72.76
Meter 3	Oct 2008	57.24
Meter 3	Nov 2008	42.7
Meter 3	Dec 2008	51.28
Meter 3	Jan 2009	58.82
Meter 3	Feb 2009	64.79
Meter 3	Mar 2009	73.44
Meter 3	Apr 2009	80.52
Meter 3	May 2009	77.99
Meter 3	Jun 2009	83.66
Meter 3	Jul 2009	85.76
Meter 3	Aug 2009	81.19
Meter 3	Sep 2009	93.36
Meter 3	Oct 2009	118.81
Meter 3	Nov 2009	135.91
Meter 3	Dec 2009	134.52
Meter 3	Jan 2010	125.41
Meter 3	Feb 2010	118.4
Meter 3	Mar 2010	128.82
